indexnummer,klachtnummer,naam,email,telefoon,hoofdcategorie,subcategorie,behandeltermijn,status,bron,gebied,wijk,tevredenheid,team,wijziging,datum,behandelsduur
964,KL8E5CA899,Liam Bakker,liam.bakker763@outlook.com,,Afval en reiniging,Niet geleegde containers,3 dagen,Geannuleerd,formulier,Woensel Zuid,Begijnenbroek,,Team Reiniging,0,2025-02-14,
965,KL2338996E,Finn Meijer,finn.meijer178@gmail.com,0653927151,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,app,Woensel Noord,Achtse Molen,,Team Reiniging,0,2025-02-16,
966,KL26F4BEC4,Noah Smit,noah.smit374@gmail.com,0630432304,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,formulier,Woensel Noord,Ontginning,,Team Reiniging,0,2025-02-11,
967,KLC85DFB0A,Tess van Dijk,tess.van dijk342@gmail.com,0668713170,Woningtoezicht,Ongedierte,5 dagen,In behandeling,telefoon,Gestel,Oud Kasteel,,Team Bouw & Toezicht,0,2025-02-15,
968,KLE043B8FD,Daan de Boer,daan.de boer447@gmail.com,0698655522,Jeugdzorg,Ondersteuning bij opvoeding,14 dagen,In behandeling,internet,Strijp,Oud-Strijp,,Team Sociaal Domein,0,2025-02-12,
969,KL152463EE,Noah Meijer,noah.meijer409@outlook.com,0650223678,Openbaar vervoer,Beschadigde haltes,7 dagen,Geannuleerd,telefoon,Stratum,Kortonjo,,Team Wegen & Verkeer,0,2025-02-25,
970,KL2F1A342A,Julia Koster,,0690294891,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,app,Woensel Zuid,Begijnenbroek,,Team Reiniging,0,2025-02-25,
971,KLE7E860CC,Noah Meijer,noah.meijer839@gmail.com,0685756523,Vandalisme,Beschadigde objecten,5 dagen,Openstaand,app,Strijp,Halve Maan,,Team Handhaving,0,2025-02-12,
972,KL8474E5EC,Emma Visser,emma.visser951@gmail.com,,Geluidsoverlast,Horeca,7 dagen,Afgehandelde klacht,app,Gestel,Oud Kasteel,Neutraal,Team Handhaving,0,2025-02-03,11.0
973,KL6A377F3B,Sophie Meijer,sophie.meijer416@hotmail.com,,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,onbekend,Gestel,Rozenknopje,,Team Reiniging,0,2025-02-06,
974,KL4DEF3BC7,Julia de Vries,julia.de vries624@outlook.com,0683515502,Afval en reiniging,Verstopte putten,3 dagen,Geannuleerd,app,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-01,
975,KL5FBEB977,Emma Koster,,,Openbaar vervoer,Beschadigde haltes,7 dagen,Openstaand,app,Strijp,Meerhoven,,Team Wegen & Verkeer,0,2025-02-03,
976,KL4E6F860D,Noah Visser,noah.visser802@gmail.com,,Jeugdzorg,Ondersteuning bij opvoeding,14 dagen,Geannuleerd,internet,Strijp,Meerhoven,,Team Sociaal Domein,0,2025-02-12,
977,KL2E4901B9,Noah Smit,,0677078020,Straatverlichting,Knipperende verlichting,10 dagen,Geannuleerd,telefoon,Tongelre,Oud-Tongelre,,Team Verlichting,0,2025-01-30,
978,KLB51C61F3,Finn Bakker,,0684736108,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,onbekend,Strijp,Meerhoven,Ontevreden,Team Reiniging,0,2025-01-29,17.0
979,KL8C975116,Noah de Vries,noah.de vries244@gmail.com,0693438712,Openbaar vervoer,Beschadigde haltes,7 dagen,Heropend,internet,Centrum,TU-terrein,,Team Wegen & Verkeer,0,2025-02-07,
980,KLD61C6975,Noah van Dijk,noah.van dijk669@voorbeeld.nl,,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,telefoon,Woensel Noord,Achtse Molen,,Team Reiniging,0,2025-02-03,
981,KLE09EE774,Daan Bakker,daan.bakker380@voorbeeld.nl,0618319815,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,app,Woensel Noord,Aanschot,Ontevreden,Team Reiniging,0,2025-02-09,1.0
982,KL94BEDE85,Tess de Vries,tess.de vries424@voorbeeld.nl,0661719853,Straatverlichting,Lantaarnpaal kapot,10 dagen,Afgehandelde klacht,app,Woensel Noord,Ontginning,Zeer ontevreden,Team Verlichting,0,2025-02-17,13.0
983,KL8F883EE0,Tess de Boer,tess.de boer133@outlook.com,0617373270,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,Geannuleerd,internet,Centrum,TU-terrein,,Team Groenvoorziening,1,2025-02-16,
984,KLAF75EA6A,Sophie Visser,sophie.visser128@gmail.com,0679773971,Straatverlichting,Lantaarnpaal kapot,10 dagen,Heropend,app,Woensel Zuid,Erp,,Team Verlichting,0,2025-02-01,
985,KLCF6244BF,Tess Meijer,tess.meijer522@hotmail.com,0691150861,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,In behandeling,internet,Strijp,Oud-Strijp,,Team Sociaal Domein,0,2025-02-25,
986,KL96CB5AAC,Emma Bakker,emma.bakker364@hotmail.com,0695282553,Openbaar vervoer,Beschadigde haltes,7 dagen,Geannuleerd,telefoon,Gestel,Rozenknopje,,Team Wegen & Verkeer,0,2025-02-20,
987,KL4F80232F,Sophie Mulder,sophie.mulder776@hotmail.com,0693240620,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,app,Woensel Zuid,Begijnenbroek,,Team Bouw & Toezicht,1,2025-02-23,
988,KLB0978BEA,Finn de Vries,finn.de vries61@gmail.com,0636155185,Groenvoorziening,Overhangend groen,14 dagen,Heropend,formulier,Woensel Zuid,Erp,,Team Groenvoorziening,0,2025-02-12,
989,KL8C69EA7A,Noah Bakker,noah.bakker776@outlook.com,0672414113,Afval en reiniging,Zwerfvuil,5 dagen,Openstaand,telefoon,Stratum,Oud-Stratum,,Team Reiniging,0,2025-01-29,
990,KL75188994,Julia Smit,julia.smit140@gmail.com,0688913194,Illegale activiteiten,Woningdelen zonder vergunning,7 dagen,Geannuleerd,telefoon,Woensel Noord,Dommelbeemd,,Team Handhaving,0,2025-02-13,
991,KL260E1358,Sophie Koster,sophie.koster548@hotmail.com,,Bouwvergunning,Illegale aanbouw,14 dagen,Geannuleerd,formulier,Woensel Zuid,Oud-Woensel,,Team Bouw & Toezicht,0,2025-02-13,
992,KL63EF53A2,Daan Mulder,daan.mulder398@gmail.com,0688953698,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,internet,Centrum,De Bergen,Ontevreden,Team Sociaal Domein,1,2025-02-17,16.0
993,KL60EF7B86,Noah Meijer,noah.meijer995@gmail.com,0680430608,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,telefoon,Woensel Noord,Aanschot,Ontevreden,Team Reiniging,0,2025-02-16,13.0
994,KL29235A00,Tess Koster,tess.koster441@gmail.com,0648707336,Groenvoorziening,Omgevallen boom,2 dagen,Openstaand,app,Gestel,Rozenknopje,,Team Groenvoorziening,0,2025-02-12,
995,KL8885D22F,Daan Meijer,daan.meijer121@voorbeeld.nl,0617418916,Verkeer en wegen,Gat in de weg,5 dagen,In behandeling,app,Stratum,Putten,,Team Wegen & Verkeer,0,2025-01-31,
996,KL3D1FB7F7,Finn van Dijk,finn.van dijk908@hotmail.com,0676769951,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Openstaand,telefoon,Centrum,Witte Dame,,Team Wegen & Verkeer,0,2025-02-21,
997,KLD6B4B178,Mila van Dijk,mila.van dijk737@hotmail.com,,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Geannuleerd,internet,Stratum,Oud-Stratum,,Team Sociaal Domein,0,2025-02-20,
998,KLA13DC1BE,Noah Koster,noah.koster633@hotmail.com,,Groenvoorziening,Onkruidbestrijding,14 dagen,Openstaand,telefoon,Centrum,Fellenoord,,Team Groenvoorziening,0,2025-02-24,
999,KLCA87DDEC,Finn van Dijk,finn.van dijk905@outlook.com,0625464450,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,app,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-14,
1000,KLCB4128DF,Sara Mulder,sara.mulder966@voorbeeld.nl,0630751467,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,Openstaand,internet,Stratum,Oud-Stratum,,Team Handhaving,0,2025-02-05,
1001,KLDF1CE233,Emma Meijer,emma.meijer730@hotmail.com,0652587379,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Geannuleerd,app,Centrum,Witte Dame,,Team Handhaving,0,2025-02-08,
1002,KLDC748389,Liam Smit,,0673801434,Straatverlichting,Knipperende verlichting,10 dagen,Afgehandelde klacht,app,Stratum,Oud-Stratum,Tevreden,Team Verlichting,0,2025-01-29,12.0
1003,KLE582F2EC,Sara Visser,sara.visser995@outlook.com,0678800321,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Openstaand,internet,Centrum,Fellenoord,,Team Spelen & Sport,0,2025-02-25,
1004,KL7FE70A1A,Sophie Visser,sophie.visser60@hotmail.com,,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Afgehandelde klacht,app,Centrum,TU-terrein,Neutraal,Team Reiniging,1,2025-02-17,6.0
1005,KLCB550CB1,Finn Mulder,finn.mulder735@hotmail.com,0641315974,Afval en reiniging,Verstopte putten,3 dagen,Heropend,telefoon,Woensel Zuid,Begijnenbroek,,Team Reiniging,0,2025-01-29,
1006,KLB0B4C6CA,Noah Smit,noah.smit499@outlook.com,0613126983,Vandalisme,Graffiti,10 dagen,Heropend,app,Centrum,Fellenoord,,Team Handhaving,0,2025-02-19,
1007,KLA94F9990,Sara de Vries,sara.de vries331@hotmail.com,0661807386,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Afgehandelde klacht,formulier,Strijp,Meerhoven,Tevreden,Team Wegen & Verkeer,0,2025-02-25,5.0
1008,KL0895DCCC,Sophie van Dijk,sophie.van dijk99@hotmail.com,,Afval en reiniging,Verstopte putten,3 dagen,Heropend,app,Woensel Zuid,Oud-Woensel,,Team Reiniging,0,2025-02-04,
1009,KL274E5919,Sophie Jansen,,0658754750,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,Geannuleerd,app,Strijp,Meerhoven,,Team Sociaal Domein,0,2025-02-17,
1010,KL16662B7A,Daan de Vries,daan.de vries718@gmail.com,0612480771,Spelen en sport,Beschadigde speeltoestellen,5 dagen,In behandeling,telefoon,Centrum,De Bergen,,Team Spelen & Sport,0,2025-02-24,
1011,KL0ADD1AD0,Sophie Smit,sophie.smit637@outlook.com,,Afval en reiniging,Zwerfvuil,5 dagen,Heropend,app,Stratum,Oud-Stratum,,Team Reiniging,0,2025-02-08,
1012,KL592B9BAB,Mila Bakker,mila.bakker299@gmail.com,0662406839,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,formulier,Tongelre,Oud-Tongelre,,Team Reiniging,0,2025-02-13,
1013,KL44B31BA4,Mila Meijer,mila.meijer493@gmail.com,0691899468,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,In behandeling,internet,Tongelre,Oud-Tongelre,,Team Handhaving,0,2025-02-20,
1014,KL5970AB54,Mila Smit,mila.smit459@outlook.com,0650778344,Vandalisme,Beschadigde objecten,5 dagen,Geannuleerd,telefoon,Woensel Zuid,Oud-Woensel,,Team Handhaving,0,2025-02-19,
1015,KLA9819786,Daan van Dijk,daan.van dijk620@gmail.com,0677884576,Geluidsoverlast,Horeca,7 dagen,In behandeling,app,Woensel Noord,Dommelbeemd,,Team Handhaving,0,2025-02-18,
1016,KLA1B334C3,Liam Visser,liam.visser629@gmail.com,0679146534,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,app,Woensel Noord,Ontginning,,Team Reiniging,0,2025-02-07,
1017,KL09737AF3,Noah Jansen,noah.jansen651@voorbeeld.nl,0628737750,Parkeerproblemen,Foutparkeren,1 dag,Openstaand,app,Stratum,Putten,,Team Handhaving,0,2025-02-16,
1018,KLB32C77B7,Julia Mulder,,0687056913,Afval en reiniging,Verstopte putten,3 dagen,Geannuleerd,internet,Stratum,Putten,,Team Reiniging,0,2025-02-23,
1019,KLD118E830,Mila Bakker,mila.bakker932@voorbeeld.nl,0678649964,Afval en reiniging,Dumping grofvuil,5 dagen,In behandeling,telefoon,Gestel,Oud Kasteel,,Team Reiniging,0,2025-02-21,
1020,KL09BAAAE8,Daan Smit,daan.smit639@hotmail.com,0629959109,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,app,Woensel Zuid,Erp,,Team Reiniging,0,2025-02-04,
1021,KLA3480F24,Emma Bakker,emma.bakker555@hotmail.com,0619328756,Groenvoorziening,Onkruidbestrijding,14 dagen,Heropend,formulier,Strijp,Meerhoven,,Team Bouw & Toezicht,1,2025-02-24,
1022,KLFC070AD8,Mila van Dijk,mila.van dijk663@gmail.com,0659782590,Bouwvergunning,Illegale aanbouw,14 dagen,Afgehandelde klacht,app,Woensel Noord,Achtse Molen,Ontevreden,Team Bouw & Toezicht,0,2025-02-20,2.0
1023,KL131FBE62,Noah Jansen,noah.jansen374@gmail.com,0672432309,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,app,Stratum,Kortonjo,Ontevreden,Team Reiniging,0,2025-02-11,4.0
1024,KLF96234C3,Emma Smit,emma.smit908@voorbeeld.nl,0621060696,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Afgehandelde klacht,app,Stratum,Kortonjo,Zeer ontevreden,Team Spelen & Sport,0,2025-02-09,2.0
1025,KLCA65352B,Tess Koster,tess.koster296@gmail.com,0639212040,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Geannuleerd,internet,Stratum,Kortonjo,,Team Sociaal Domein,0,2025-01-31,
1026,KL5D8B129B,Daan Mulder,daan.mulder174@outlook.com,,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Openstaand,internet,Stratum,Kortonjo,,Team Wegen & Verkeer,0,2025-02-22,
1027,KL2B652035,Sophie de Boer,sophie.de boer924@outlook.com,0691972420,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Geannuleerd,internet,Strijp,Halve Maan,,Team Handhaving,0,2025-02-25,
1028,KL083AF46E,Noah de Boer,noah.de boer682@gmail.com,,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Openstaand,app,Tongelre,Oud-Tongelre,,Team Sociaal Domein,0,2025-02-24,
1029,KLA681D513,Liam Smit,liam.smit819@gmail.com,0665503335,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Geannuleerd,telefoon,Woensel Noord,Achtse Molen,,Team Handhaving,0,2025-02-18,
1030,KL84C140B3,Noah de Vries,noah.de vries300@outlook.com,0659735235,Straatverlichting,Knipperende verlichting,10 dagen,Geannuleerd,onbekend,Strijp,Oud-Strijp,,Team Verlichting,0,2025-02-14,
1031,KL99E19284,Tess Mulder,tess.mulder886@gmail.com,0692891069,Afval en reiniging,Verstopte putten,3 dagen,Heropend,app,Woensel Noord,Achtse Molen,,Team Reiniging,0,2025-02-10,
1032,KLD7904927,Liam Meijer,liam.meijer605@gmail.com,0619399499,Groenvoorziening,Onkruidbestrijding,14 dagen,Openstaand,onbekend,Stratum,Putten,,Team Groenvoorziening,0,2025-02-14,
1033,KL01C4BD5E,Daan Bakker,daan.bakker957@gmail.com,0652531533,Parkeerproblemen,Foutparkeren,1 dag,In behandeling,formulier,Stratum,Putten,,Team Handhaving,0,2025-02-19,
1034,KL7EEC7270,Liam Visser,,0631805429,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),In behandeling,telefoon,Stratum,Oud-Stratum,,Team Wegen & Verkeer,0,2025-02-16,
1035,KL01658B31,Tess Meijer,tess.meijer222@hotmail.com,0656035310,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,internet,Centrum,Binnenstad,,Team Reiniging,0,2025-02-11,
1036,KL8083B85A,Tess de Vries,tess.de vries416@voorbeeld.nl,0661682895,Afval en reiniging,Niet geleegde containers,3 dagen,Geannuleerd,internet,Centrum,De Bergen,,Team Reiniging,0,2025-02-08,
1037,KL5087BD36,Daan van Dijk,daan.van dijk333@hotmail.com,0619597260,Bouwvergunning,Illegale aanbouw,14 dagen,Heropend,app,Gestel,Oud-Gestel,,Team Bouw & Toezicht,0,2025-02-07,
1038,KL4C684EBB,Daan Bakker,daan.bakker850@hotmail.com,0648827145,Dieren,Dode of gewonde dieren - op straat,1 dag,In behandeling,app,Woensel Zuid,Erp,,Team Handhaving,0,2025-02-07,
1039,KL450E0F79,Finn Meijer,finn.meijer296@gmail.com,0625476518,Verkeer en wegen,Gat in de weg,5 dagen,In behandeling,internet,Tongelre,De Laak,,Team Wegen & Verkeer,0,2025-02-26,
1040,KL20593074,Emma Visser,emma.visser781@voorbeeld.nl,0670604093,Illegale activiteiten,Woningdelen zonder vergunning,7 dagen,Openstaand,app,Woensel Noord,Ontginning,,Team Handhaving,0,2025-02-03,
1041,KLAE86E596,Liam de Vries,liam.de vries808@voorbeeld.nl,0659748213,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Openstaand,app,Gestel,Rozenknopje,,Team Wegen & Verkeer,1,2025-02-11,
1042,KLD9D5A239,Julia de Boer,julia.de boer506@hotmail.com,0628811953,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,Heropend,app,Woensel Noord,Dommelbeemd,,Team Sociaal Domein,0,2025-02-07,
1043,KL661EDEBB,Mila Bakker,mila.bakker476@outlook.com,0643516988,Afval en reiniging,Zwerfvuil,5 dagen,Heropend,app,Woensel Noord,Aanschot,,Team Reiniging,0,2025-02-03,
1044,KL34E8D046,Sara de Boer,sara.de boer486@voorbeeld.nl,,Bouwvergunning,Overlast door projecten,7 dagen,In behandeling,app,Centrum,De Bergen,,Team Bouw & Toezicht,0,2025-02-02,
1045,KL58EA1956,Liam Visser,liam.visser179@outlook.com,0645609559,Groenvoorziening,Omgevallen boom,2 dagen,Afgehandelde klacht,app,Woensel Zuid,Erp,Ontevreden,Team Groenvoorziening,0,2025-02-22,3.0
1046,KLE0C4218D,Tess Mulder,tess.mulder554@hotmail.com,,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,formulier,Woensel Noord,Ontginning,,Team Reiniging,0,2025-02-06,
1047,KL76997584,Daan Bakker,daan.bakker910@gmail.com,0660341758,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),Afgehandelde klacht,app,Gestel,Oud-Gestel,Zeer ontevreden,Team Handhaving,0,2025-02-10,16.0
1048,KLDAE5CDE3,Sophie van Dijk,sophie.van dijk332@gmail.com,,Afval en reiniging,Zwerfvuil,5 dagen,Heropend,telefoon,Gestel,Rozenknopje,,Team Reiniging,0,2025-02-17,
1049,KL22B45D8A,Mila Smit,mila.smit222@hotmail.com,0621223845,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Afgehandelde klacht,app,Woensel Zuid,Begijnenbroek,Tevreden,Team Wegen & Verkeer,0,2025-02-13,1.0
1050,KL08D329AA,Noah de Vries,noah.de vries821@hotmail.com,0618612806,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Geannuleerd,formulier,Woensel Zuid,Begijnenbroek,,Team Wegen & Verkeer,0,2025-02-24,
1051,KL58780969,Julia Koster,julia.koster81@voorbeeld.nl,0685828653,Woningtoezicht,Ongedierte,5 dagen,In behandeling,onbekend,Tongelre,Oud-Tongelre,,Team Bouw & Toezicht,0,2025-02-07,
1052,KL0EA33E12,Sophie van Dijk,sophie.van dijk215@gmail.com,,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,internet,Woensel Zuid,Erp,,Team Reiniging,0,2025-02-16,
1053,KLEDBAB75D,Tess Meijer,tess.meijer892@gmail.com,,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,internet,Gestel,Oud Kasteel,,Team Reiniging,0,2025-02-01,
1054,KL3EDD5912,Emma Mulder,emma.mulder707@hotmail.com,0633550810,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,app,Strijp,Meerhoven,,Team Reiniging,0,2025-02-12,
1055,KL21473A3A,Noah Mulder,noah.mulder684@gmail.com,0690222490,Afval en reiniging,Zwerfvuil,5 dagen,In behandeling,app,Stratum,Oud-Stratum,,Team Reiniging,0,2025-02-19,
1056,KLA864C22C,Sophie Visser,sophie.visser378@hotmail.com,0690420529,Woningtoezicht,Achterstallig onderhoud,10 dagen,Afgehandelde klacht,telefoon,Stratum,Kortonjo,Zeer tevreden,Team Bouw & Toezicht,0,2025-02-05,7.0
1057,KLFBC8F07E,Tess van Dijk,tess.van dijk798@hotmail.com,0621203538,Woningtoezicht,Achterstallig onderhoud,10 dagen,Afgehandelde klacht,app,Woensel Zuid,Oud-Woensel,Zeer ontevreden,Team Handhaving,1,2025-02-14,19.0
1058,KL6BCEA101,Finn Bakker,finn.bakker175@hotmail.com,0659286615,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,app,Stratum,Kortonjo,Neutraal,Team Reiniging,0,2025-02-26,20.0
1059,KL76E4EC25,Sophie de Vries,sophie.de vries226@hotmail.com,,Geluidsoverlast,Horeca,7 dagen,Openstaand,app,Centrum,Binnenstad,,Team Handhaving,0,2025-02-16,
1060,KL91CB4471,Emma Koster,emma.koster105@voorbeeld.nl,0658486914,Jeugdzorg,Ondersteuning bij opvoeding,14 dagen,Afgehandelde klacht,app,Tongelre,De Laak,Zeer tevreden,Team Sociaal Domein,0,2025-02-23,13.0
1061,KL59279EE0,Sara Bakker,sara.bakker442@gmail.com,0682827367,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,app,Strijp,Oud-Strijp,,Team Verlichting,1,2025-02-21,
1062,KLBDDA02A8,Julia Smit,julia.smit570@hotmail.com,,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,app,Woensel Noord,Achtse Molen,,Team Reiniging,0,2025-02-23,
1063,KL5878F9C0,Mila Koster,,,Dieren,Dode of gewonde dieren - op straat,1 dag,In behandeling,app,Woensel Zuid,Oud-Woensel,,Team Handhaving,0,2025-02-23,
1064,KL8DF920E6,Finn de Vries,finn.de vries113@gmail.com,,Geluidsoverlast,Horeca,7 dagen,Afgehandelde klacht,internet,Tongelre,Oud-Tongelre,Tevreden,Team Handhaving,0,2025-01-28,1.0
1065,KL92DB7286,Daan Koster,daan.koster537@hotmail.com,0677024032,Straatverlichting,Knipperende verlichting,10 dagen,Openstaand,telefoon,Tongelre,Oud-Tongelre,,Team Groenvoorziening,1,2025-02-12,
1066,KL06706928,Finn Meijer,finn.meijer646@gmail.com,0616293624,Jeugdzorg,Ondersteuning bij opvoeding,14 dagen,Heropend,internet,Stratum,Kortonjo,,Team Sociaal Domein,0,2025-02-07,
1067,KL0969E27F,Tess Mulder,tess.mulder435@voorbeeld.nl,0679973710,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Heropend,app,Woensel Noord,Ontginning,,Team Spelen & Sport,0,2025-02-25,
1068,KL1832C6D2,Daan Meijer,daan.meijer647@outlook.com,,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,Openstaand,app,Woensel Noord,Ontginning,,Team Handhaving,0,2025-02-20,
1069,KLEFB999E2,Noah Visser,noah.visser141@gmail.com,0673015646,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,internet,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-03,
1070,KL95CDEDA0,Mila van Dijk,mila.van dijk955@hotmail.com,0670305272,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,app,Woensel Noord,Aanschot,,Team Reiniging,0,2025-01-30,
1071,KL524FDA05,Emma Meijer,emma.meijer126@gmail.com,,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,formulier,Tongelre,Oud-Tongelre,,Team Reiniging,0,2025-02-01,
1072,KLD22D1898,Daan de Boer,daan.de boer184@gmail.com,0697853303,Straatverlichting,Lantaarnpaal kapot,10 dagen,Geannuleerd,app,Strijp,Meerhoven,,Team Verlichting,0,2025-02-19,
1073,KL4DF60344,Finn de Vries,finn.de vries268@hotmail.com,0669665669,Straatverlichting,Lantaarnpaal kapot,10 dagen,Heropend,telefoon,Gestel,Rozenknopje,,Team Verlichting,0,2025-02-19,
1074,KLE265BD79,Daan Visser,daan.visser599@outlook.com,0668282186,Parkeerproblemen,Foutparkeren,1 dag,Afgehandelde klacht,internet,Woensel Noord,Achtse Molen,Ontevreden,Team Handhaving,0,2025-02-05,10.0
1075,KLB630522C,Noah Jansen,noah.jansen370@hotmail.com,0693121519,Jeugdzorg,Kindermishandeling (melding),1 dag,Openstaand,app,Stratum,Kortonjo,,Team Sociaal Domein,0,2025-02-17,
1076,KLA72CDDDE,Liam van Dijk,liam.van dijk635@gmail.com,0698965252,Afval en reiniging,Niet geleegde containers,3 dagen,Openstaand,formulier,Woensel Noord,Dommelbeemd,,Team Reiniging,0,2025-02-26,
1077,KLAF0A1F35,Finn Meijer,finn.meijer724@voorbeeld.nl,,Vandalisme,Graffiti,10 dagen,Geannuleerd,internet,Gestel,Oud-Gestel,,Team Handhaving,0,2025-02-05,
1078,KLAE8799A6,Liam de Vries,,0693172400,Jeugdzorg,Kindermishandeling (melding),1 dag,Afgehandelde klacht,internet,Tongelre,Oud-Tongelre,Zeer tevreden,Team Sociaal Domein,0,2025-02-08,8.0
1079,KLC75F5E61,Liam de Vries,liam.de vries722@gmail.com,0637061133,Dieren,Overlast door dieren,7 dagen,Geannuleerd,app,Woensel Noord,Achtse Molen,,Team Handhaving,0,2025-02-08,
1080,KL72D9EB13,Julia Visser,julia.visser339@voorbeeld.nl,0668633589,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Openstaand,internet,Woensel Noord,Aanschot,,Team Spelen & Sport,0,2025-02-11,
1081,KL9A17A4AB,Noah Meijer,noah.meijer47@outlook.com,0685223770,Vandalisme,Beschadigde objecten,5 dagen,Heropend,app,Woensel Zuid,Oud-Woensel,,Team Handhaving,0,2025-02-07,
1082,KL2CDC1E33,Emma Meijer,emma.meijer639@outlook.com,0695056379,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,telefoon,Tongelre,Oud-Tongelre,Ontevreden,Team Reiniging,0,2025-02-04,19.0
